input_term,term,industry
Retail Automotive Tools,Customer Service,Customer Service
Retail Consulting,Retail,Retail
Retail Creative/Marketing,Retail,Retail
Retail Distribution (Oil and Gas),Oil,Oil/Gas/Energy
Retail Grocery,Retail,Retail
Retail HR,Retail,Retail
Retail Healthcare,Healthcare,Healthcare
Retail Logistics,Logistics,Transportation/Logistics
Retail Mail Order,Retail,Retail
Retail Management,Retail,Retail
Retail NIKE,Retail,Retail
Retail Pharmacy,Pharmaceutical,Pharmaceutical/Bio-tech
Retail Point of Sale,Retail,Retail
Retail Sales,Retail,Retail
Retail Service,Retail,Retail
Retail and Food Service,Food Service,Restaurant/Food Service
Retail back office support,Retail,Retail
Retail banking,Banking,Banking/Loans
Retail corporate marketing,Retail,Retail
Retail food service (grocery store),Retail,Retail
"Retail food service, corporate HQ",Customer Service,Customer Service
Retail marketing,Retail,Retail
Retail tech,Retail,Retail
"Retail, Customer Service",Customer Service,Customer Service
Retail-matress sales,Retail,Retail
Retail-remodeling,Travel,Hospitality/Travel
Retail/Convenience Store,Retail,Retail
Retail/Ecommerce,Retail,Retail
Retail/Fashion Apparel,Retail,Retail
Retail/Fashion HQ,Retail,Retail
Retail/Hospitality,Hospitality,Hospitality/Travel
Retail/Optics,Retail,Retail
Retail/Wholesale,Retail,Retail
Retail/industrial products,Retail,Retail
Retailer,Retail,Retail
Retao;,Transportation,Transportation/Logistics
Retired,Administrative,Administrative
Retired now,Finance,Accounting/Finance
Retirement Administration,Security,Law Enforcement/Security
Retirement Benefits,Security,Law Enforcement/Security
Retirement Community,Social Community,Social/Community
Retirement Planning,Finance,Accounting/Finance
Revenue Cycle Management,Healthcare,Healthcare
Ride share,Insurance,Insurance
Risk Management,Project Management,Project Management
Risk and Compliance/Due Diligence,Business,Business/Analyst
Robotics,Science,Science/Research
Robotics - Automation,Business Analyst,Business/Analyst
Rope Manufacturing,Manufacturing,Manufacturing/Mechanical
Ruber Flooring,Real Estate,Real Estate
Running/Races,Training,Education/Training
SALES ORGANIZATION,Sales,Sales
SASS / Technology,Upper Management,Upper Management/Consulting
SCUBA Diving,Gas,Oil/Gas/Energy
SEO,Marketing,Marketing/Advertising/PR
STEM,Education,Education/Training
STEM-focused non-profit,Education,Education/Training
STM Publishing,Research,Science/Research
SURVEYING,Research,Science/Research
SW engineering,Construction,Construction/Facilities
SaaS,Internet,Computer/Internet
SaaS Marketing,Marketing,Marketing/Advertising/PR
SaaS tech company,Customer Service,Customer Service
SaaS/Recruiting,Human Resources,Human Resources
SaaS/Technololgy,Customer Service,Customer Service
Saas software,Internet,Computer/Internet
Safety,Environmental,Environmental
Safety Products,Customer Service,Customer Service
Safety Regulation,Healthcare,Healthcare
Safety Training,Training,Education/Training
Sales,Sales,Sales
Sales - Fragrance & Cosmetics,Oil,Oil/Gas/Energy
Sales - Medical Reagents,Environmental,Environmental
Sales Employement,Retail,Retail
Sales Operations,Sales,Sales
Sales and Distribution,Retail,Retail
Sales and Management,Sales,Sales
Sales and Marketing,Marketing,Marketing/Advertising/PR
Sales distribution,Retail,Retail
Sales--Non-Profit,Non-Profit,Non-Profit/Volunteering
Salesforce,Customer Service,Customer Service
Sanitation,Food Service,Restaurant/Food Service
Satellite Communications,Telecommunications,Telecommunications
Satellite Tv,Telecommunications,Telecommunications
Satellite technology,Science Research,Science/Research
Scholarly Publishing,Publishing,Arts/Entertainment/Publishing
School,Education,Education/Training
School Administration,Education,Education/Training
School Custodial,Environmental,Environmental
School District,Education,Education/Training
School District Special Education,Education,Education/Training
School Photography,Education,Education/Training
School services and recognition products,Sport Leisure,Sport/Leisure
Science,Science,Science/Research
Science (MRI research),Healthcare,Healthcare
Science - biology,Science Research,Science/Research
Science Collections,Research,Science/Research
Science Laboratory,Science Research,Science/Research
Science Publishing,Publishing,Arts/Entertainment/Publishing
Science R&D,Research,Science/Research
Science academic research,Research,Science/Research
Science and Engineering,Engineering,Engineering/Architecture
Science and Technology,Science,Science/Research
Science and engineering R&D,Research,Science/Research
Science and engineering research,Engineering,Engineering/Architecture
Science writing/editing at a nonprofit,Non-Profit,Non-Profit/Volunteering
"Science, conservation",Agriculture,Agriculture
Science/Research,Science Research,Science/Research
Science/Technology,Science Research,Science/Research
Science/database,Science,Science/Research
Science/government,Science,Science/Research
Scientific,Science,Science/Research
Scientific Instrumentation,Science Research,Science/Research
Scientific Publishing,Publishing,Arts/Entertainment/Publishing
Scientific Research / Publishing,Publishing,Arts/Entertainment/Publishing
Scientific Research; Academic,Science Research,Science/Research
Scientific association,Science,Science/Research
Scientific instrument sales,Sales,Sales
Scientific research,Science Research,Science/Research
Scientist biology,Science Research,Science/Research
Scrap Metal Recycling,Business,Business/Analyst
Screen printing,Publishing,Arts/Entertainment/Publishing
Seafood,Agriculture,Agriculture
Seafood Processing,Agriculture,Agriculture
Seasonal govt and Ski,Sport Leisure,Sport/Leisure
Secondary Education,Education,Education/Training
Sector,Administrative,Administrative
Securities,Security,Law Enforcement/Security
Security,Security,Law Enforcement/Security
Security (federal govt contractor),Government,Government/Military
Security Contracting,Military,Government/Military
Security Equipment Manufacturing,Security,Law Enforcement/Security
Security GRC,Upper Management,Upper Management/Consulting
Security Management,Security,Law Enforcement/Security
Security Technology,Security,Law Enforcement/Security
Seed industry,Agriculture,Agriculture
Self Storage,Facilities,Construction/Facilities
Self employed,Business,Business/Analyst
Self-Driving,Transportation,Transportation/Logistics
Self-published writer,Publishing,Arts/Entertainment/Publishing
Semiconductor,Computer,Computer/Internet
Semiconductor Engineering,Engineering,Engineering/Architecture
Semiconductor Manufacturers,Computer,Computer/Internet
Semiconductor Manufacturing,Computer,Computer/Internet
Semiconductor design,Computer,Computer/Internet
Semiconductor equipment,Manufacturing,Manufacturing/Mechanical
Semiconductor industry,Computer,Computer/Internet
Semiconduyor,Computer,Computer/Internet
Senior Housing,Real Estate,Real Estate
Senior Living,Real Estate,Real Estate
Senior Living residence,Healthcare,Healthcare
Serious Games,Training,Education/Training
Service,Personal Service,Personal Service
Service (law),Personal Service,Personal Service
Service - Language Services,Healthcare,Healthcare
Service Businesses,Business,Business/Analyst
Service industry,Customer Service,Customer Service
Settlement Administration,Healthcare,Healthcare
Sexwork,Other,Other
Sheet metal,Manufacturing,Manufacturing/Mechanical
Ship repair,Arts Entertainment Publishing,Arts/Entertainment/Publishing
Shipbuilding,Construction,Construction/Facilities
Shipping,Travel,Hospitality/Travel
Shopping Center,Retail,Retail
Sign,Administrative,Administrative
Sign Manufacturing,Customer Service,Customer Service
Sign manufacturer,Customer Service,Customer Service
Silicon Valley Tech,Computer,Computer/Internet
Silicon engineering,Engineering,Engineering/Architecture
Simulation Education,Training,Education/Training
Skin health care,Science Research,Science/Research
Sleepaway Camp,Community,Social/Community
Small Electronics Repair,Computer,Computer/Internet
Small market radio,Advertising,Marketing/Advertising/PR
Smart utilities,Energy,Oil/Gas/Energy
So,Administrative,Administrative
Social Certification,Human Resources,Human Resources
Social Enterprise,Social,Social/Community
Social Expressions,Social,Social/Community
Social Media,Social,Social/Community
Social Science Research,Science Research,Science/Research
Social Science Research (or Data Analysis),Research,Science/Research
"Social Sector (nonprofits, philanthropy)",Non-Profit,Non-Profit/Volunteering
Social Services,Environmental,Environmental
Social Services/County Government,Healthcare,Healthcare
Social Services/Nonprofit,Non-Profit,Non-Profit/Volunteering
Social Work,Social,Social/Community
Social Work - Nonprofit,Social Community,Social/Community
Social Work/NonProfit,Social Community,Social/Community
Social and community services,Sales,Sales
"Social expressions, gifts, retail",Retail,Retail
Social housing,Construction,Construction/Facilities
Social media marketing,Media,Media
Social research,Research,Science/Research
Social science research (industry),Science Research,Science/Research
Social work - professional development,Social,Social/Community
Social work administration,Social,Social/Community
Social work in NGO,Social,Social/Community
"Social work, Mental health",Social,Social/Community
Social work/mental health,Social,Social/Community
Social worker,Social,Social/Community
Softtware,Computer,Computer/Internet
SoftwRe,Computer,Computer/Internet
Software,Computer,Computer/Internet
Software (Embedded),Computer,Computer/Internet
Software (Network Security),Security,Law Enforcement/Security
Software (Startups),Arts Entertainment Publishing,Arts/Entertainment/Publishing
Software (education sector),Education,Education/Training
Software - SCADA Automation,Research,Science/Research
Software - commercial,Business Analyst,Business/Analyst
Software / Ed Tech,Education,Education/Training
Software Analytics,Engineering,Engineering/Architecture
Software Consulting,Consulting,Upper Management/Consulting
Software Development,Business Analyst,Business/Analyst
Software Development (Education Technology),Education,Education/Training
Software Development (Java Script),Computer,Computer/Internet
Software Development Tools,Project Management,Project Management
Software Engineer,Engineering,Engineering/Architecture
Software Engineering,Engineering,Engineering/Architecture
Software Industry,Business,Business/Analyst
Software Products,Business,Business/Analyst
Software Publishers,Publishing,Arts/Entertainment/Publishing
Software Research and Development,Marketing,Marketing/Advertising/PR
Software Sales,Sales,Sales
Software Sales (ECM),Analyst,Business/Analyst
Software Sales SAAS,Customer Service,Customer Service
Software Services,Customer Service,Customer Service
Software Testing,Research,Science/Research
Software and Consulting,Consulting,Upper Management/Consulting
Software and Internet,Personal Service,Personal Service
Software and Services,Internet,Computer/Internet
Software and Technology,Business,Business/Analyst
Software as a Service SaaS,Internet,Computer/Internet
Software as a Service(SaaS),Internet,Computer/Internet
"Software as a Service, Sports",Sport,Sport/Leisure
Software as a service,Internet,Computer/Internet
Software company,Business,Business/Analyst
Software consultancy,Consulting,Upper Management/Consulting
Software consultant,Consulting,Upper Management/Consulting
Software developer,Engineering,Engineering/Architecture
Software development and QA,Business Analyst,Business/Analyst
Software in Healthcare,Healthcare,Healthcare
Software tech/apps,Media,Media
"Software, Information Services",Customer Service,Customer Service
Software-as-a-Service products,Customer Service,Customer Service
Software/Games,Gaming,Gaming
Software/Gaming,Gaming,Gaming
Software/Healthcare,Healthcare,Healthcare
Software/High Tech,Consulting,Upper Management/Consulting
Software/IT,Upper Management,Upper Management/Consulting
Software/Internet,Computer Internet,Computer/Internet
Software/Tech,Business Analyst,Business/Analyst
Software/Technology,Engineering,Engineering/Architecture
Software/dotcom,Consulting,Upper Management/Consulting
Sofware,Computer,Computer/Internet
Solar,Energy,Oil/Gas/Energy
Solar Energy,Energy,Oil/Gas/Energy
Solar Sales,Energy,Oil/Gas/Energy
Solar construction,Construction,Construction/Facilities
Solid Waste,Environmental,Environmental
Sort-of-Government-Run Performing Arts Nonprofit,Arts,Arts/Entertainment/Publishing
Spa,Travel,Hospitality/Travel
Space,Science,Science/Research
Space imaging,Internet,Computer/Internet
"Space, Government",Government,Government/Military
Special Events,Entertainment,Arts/Entertainment/Publishing
Special Events/Live Events,Hospitality,Hospitality/Travel
Special Libraries,Research,Science/Research
Special libraries / health association,Research,Science/Research
Speciality coffee,Restaurant Food Service,Restaurant/Food Service
Specialty Chemicals,Manufacturing,Manufacturing/Mechanical
Specialty Food,Food Service,Restaurant/Food Service
Specialty Retail Marketing,Retail,Retail
Specialty Retailer,Retail,Retail
Speech pathology,Education,Education/Training
Speech-Language Pathologist,Healthcare,Healthcare
Spirits,Restaurant,Restaurant/Food Service
Spirits Importing,Marketing,Marketing/Advertising/PR
Spirits/Retail,Retail,Retail
Sport,Sport,Sport/Leisure
Sport non-profit,Sport,Sport/Leisure
Sporting Goods,Sport Leisure,Sport/Leisure
Sporting goods equipment,Sport Leisure,Sport/Leisure
Sports,Sport,Sport/Leisure
Sports Apparel,Sport,Sport/Leisure
Sports Broadcasting,Sport,Sport/Leisure
Sports Management,Sport Leisure,Sport/Leisure
Sports Marketing,Sport Leisure,Sport/Leisure
Sports Television,Sport,Sport/Leisure
Sports and Entertainment,Sport,Sport/Leisure
Sports and Recreation,Sport Leisure,Sport/Leisure
Sports nonprofit,Sport Leisure,Sport/Leisure
Sports/Entertainment,Sport,Sport/Leisure
Sports/Live Music,Restaurant,Restaurant/Food Service
Sports/fashion,Sport Leisure,Sport/Leisure
Sportswear,Sport,Sport/Leisure
Spring Manufacturing,Manufacturing Mechanical,Manufacturing/Mechanical
Stafffing,Human Resources,Human Resources
Staffing,Human Resources,Human Resources
Staffing & Recruiting,Human Resources,Human Resources
Staffing Agency,Human Resources,Human Resources
Staffing and Recruiting,Human Resources,Human Resources
Staffing/IT,Consulting,Upper Management/Consulting
Stainless Steel Fabricating,Restaurant Food Service,Restaurant/Food Service
Starbucks,Restaurant,Restaurant/Food Service
Startup,Business,Business/Analyst
State Employee,Banking Loans,Banking/Loans
State Environmental Agency,Sales,Sales
State Government,Government,Government/Military
State Government (Higher Ed),Education,Education/Training
State Government - Department of Transportation,Transportation,Transportation/Logistics
State Government - Public Health,Healthcare,Healthcare
State Government - Purchasing,Government,Government/Military
State Government--Department of Education,Education,Education/Training
State Government/Finance,Government,Government/Military
State Government/Health Care Administration,Healthcare,Healthcare
State Health and Human Services,Healthcare,Healthcare
State Politics,Government,Government/Military
State University,Public Sector,Public Sector
State agency,Government,Government/Military
State and Local Governement,Government,Government/Military
State government - child support,Law Enforcement,Law Enforcement/Security
State government tax,Non-Profit,Non-Profit/Volunteering
State government-transportation,Transportation,Transportation/Logistics
State government/Education,Education,Education/Training
State government/politics,Government,Government/Military
State govt,Government,Government/Military
State health department,Healthcare,Healthcare
Steam heating,Energy,Oil/Gas/Energy
Steel,Restaurant Food Service,Restaurant/Food Service
Steel Fabrication,Construction,Construction/Facilities
Steel Manufacturing,Restaurant Food Service,Restaurant/Food Service
Steel building manufacturing,Manufacturing,Manufacturing/Mechanical
Stone and Tile,Real Estate,Real Estate
Storage,Real Estate,Real Estate
Strategic Comms/Public Relations,PR,Marketing/Advertising/PR
Strategy,Military,Government/Military
Strategy Consulting,Consulting,Upper Management/Consulting
Strawberry,Agriculture,Agriculture
Streaming Media,Media,Media
Stressin,Social,Social/Community
Structural Engineer,Engineering Architecture,Engineering/Architecture
Structural Engineering,Engineering Architecture,Engineering/Architecture
Structural Steel,Construction,Construction/Facilities
Student,Education,Education/Training
"Student , kinda unemployed",Human Resources,Human Resources
Student Affairs,Education,Education/Training
Student Housing,Sales,Sales
Student Housing (Privatized),Education,Education/Training
SubPrime Finance,Loans,Banking/Loans
Substance abuse treatment center,Pharmaceutical,Pharmaceutical/Bio-tech
Summer Camp/Child Care,Education,Education/Training
Supply Chain,Logistics,Transportation/Logistics
Supply Chain Integration,Logistics,Transportation/Logistics
Supply Chain Logistics / Armored transportation,Transportation Logistics,Transportation/Logistics
Supply Chain Mgmt/Business Process Mgmt,Logistics,Transportation/Logistics
Supply Chain Software,Logistics,Transportation/Logistics
Supply Chain Transportation,Transportation Logistics,Transportation/Logistics
Supply chain and logistics,Logistics,Transportation/Logistics
Supply chain management,Logistics,Transportation/Logistics
Support,Administrative,Administrative
Support Work,Consulting,Upper Management/Consulting
Supranational organisation,Government,Government/Military
Surety,Legal,Legal
Survey research,Research,Science/Research
Sushi restaurant industry,Hospitality Travel,Hospitality/Travel
Sustainability,Environmental,Environmental
Sustainability non-profit,Non-Profit,Non-Profit/Volunteering
Swimming pools,Travel,Hospitality/Travel
System integrator,Business Analyst,Business/Analyst
Systems Integration,Project Management,Project Management
T,Finance,Accounting/Finance
TEFL,Education,Education/Training
TPA,Pharmaceutical,Pharmaceutical/Bio-tech
TV,Community,Social/Community
TV Production,Community,Social/Community
TV/Film/Content,Community,Social/Community
Tacos,Restaurant,Restaurant/Food Service
Talent Acquisition,Human Resources,Human Resources
Talent Development,Human Resources,Human Resources
Talent Management,Upper Management,Upper Management/Consulting
Talent Operations,Human Resources,Human Resources
Tax,Non-Profit,Non-Profit/Volunteering
Tax Consulting,Consulting,Upper Management/Consulting
Tax Law,Non-Profit,Non-Profit/Volunteering
Tax Preparation (Professional Services),Non-Profit,Non-Profit/Volunteering
Tax and Accounting,Accounting,Accounting/Finance
Tax and Audit,Accounting,Accounting/Finance
Tax and Payroll,Non-Profit,Non-Profit/Volunteering
Tax and financial assistance,Non-Profit,Non-Profit/Volunteering
Tax preparation,Non-Profit,Non-Profit/Volunteering
Tax/Legal,Legal,Legal
Tax/finance,Non-Profit,Non-Profit/Volunteering
Taxation and accounting,Accounting,Accounting/Finance
Teacher,Education,Education/Training
Teaching,Education,Education/Training
Tecg,Gas,Oil/Gas/Energy
Tech,Media,Media
Tech & Management Consulting,Consulting,Upper Management/Consulting
Tech (Adtech startup),Advertising,Marketing/Advertising/PR
Tech (Managed Service Provider),Customer Service,Customer Service
Tech (SaaS),Internet,Computer/Internet
Tech (Social),Business,Business/Analyst
Tech (for HR),Human Resources,Human Resources
Tech (mainly fintech),Finance,Accounting/Finance
Tech (software),Business Analyst,Business/Analyst
Tech (startup),Business,Business/Analyst
Tech - IT department of national insurance company,Insurance,Insurance
Tech - Software Dev,Business Analyst,Business/Analyst
Tech - Software development,Business,Business/Analyst
Tech - a startup,Business,Business/Analyst
Tech - web development,Computer Internet,Computer/Internet
Tech /  E-Commerce,Retail,Retail
Tech / Agriculture,Agriculture,Agriculture
Tech / Ecomm,Retail,Retail
Tech / Speech Recognition,Media,Media
Tech / non profit,Non-Profit,Non-Profit/Volunteering
Tech Firm,Analyst,Business/Analyst
Tech Hardware Sales,Analyst,Business/Analyst
Tech Industry,Business,Business/Analyst
Tech Innovation,Sales,Sales
Tech Manufacturing/Amazon Marketplace,Business,Business/Analyst
Tech Recruiting,Human Resources,Human Resources
Tech Recruitment,Human Resources,Human Resources
Tech Sales,Sales,Sales
Tech Security,Security,Law Enforcement/Security
Tech adjacent,Retail,Retail
Tech and Consumer Devices,Retail,Retail
Tech company,Business,Business/Analyst
Tech distribution,Marketing,Marketing/Advertising/PR
Tech manufacturing,Manufacturing,Manufacturing/Mechanical
Tech sales for nonprofits,Non-Profit,Non-Profit/Volunteering
Tech startups,Business,Business/Analyst
Tech support,Customer Service,Customer Service
"Tech, Food & Beverage",Restaurant Food Service,Restaurant/Food Service
"Tech, Food, Operations",Restaurant Food Service,Restaurant/Food Service
"Tech, big data",Research,Science/Research
Tech-Payments,Banking,Banking/Loans
Tech/ Internet,Internet,Computer/Internet
Tech/ fintech,Banking,Banking/Loans
Tech/Advertising,Advertising,Marketing/Advertising/PR
Tech/Cloud Computing Provider,Internet,Computer/Internet
Tech/Consulting,Consulting,Upper Management/Consulting
Tech/Databases,Science Research,Science/Research
Tech/Digital,Human Resources,Human Resources
Tech/Healthcare,Healthcare,Healthcare
Tech/Life Sciences,Pharmaceutical,Pharmaceutical/Bio-tech
Tech/Marketing,Marketing,Marketing/Advertising/PR
Tech/Media,Media,Media
Tech/Print/Publishing,Publishing,Arts/Entertainment/Publishing
Tech/Real Estate,Real Estate,Real Estate
Tech/SaaS,Internet,Computer/Internet
Tech/Software,Business Analyst,Business/Analyst
Tech/Startups (Creative focused team),Business,Business/Analyst
Tech/Telecom,Telecommunications,Telecommunications
Tech/Urban Development,Transportation,Transportation/Logistics
Tech/coworking,Travel,Hospitality/Travel
Tech/retail,Retail,Retail
Tech/services,Logistics,Transportation/Logistics
Techncial Consulting,Consulting,Upper Management/Consulting
Technical Consulting,Consulting,Upper Management/Consulting
Technical Documentation,Project Management,Project Management
Technical Installation,Logistics,Transportation/Logistics
Technical Support,Customer Service,Customer Service
Technical and customer supp,Customer Service,Customer Service
Technical services,Sales,Sales
Technolo,Science,Science/Research
Technologies,Science,Science/Research
Technology,Science,Science/Research
Technology & Data,Research,Science/Research
Technology (Data Science),Science,Science/Research
Technology (SaaS),Customer Service,Customer Service
Technology (social media software),Social Community,Social/Community
Technology - Health Insurance,Healthcare,Healthcare
Technology - Software,Computer,Computer/Internet
Technology / Finance,Finance,Accounting/Finance
Technology / New Product Development,Marketing,Marketing/Advertising/PR
Technology Company,Business,Business/Analyst
Technology Consulting,Consulting,Upper Management/Consulting
Technology Contractor,Business Analyst,Business/Analyst
Technology Distribution,Restaurant Food Service,Restaurant/Food Service
Technology Governance,Business,Business/Analyst
Technology Management,Upper Management,Upper Management/Consulting
Technology Recruiting,Human Resources,Human Resources
Technology Sales,Sales,Sales
Technology Sales and Service,Personal Service,Personal Service
Technology Services,Telecommunications,Telecommunications
Technology Sotware,Computer,Computer/Internet
Technology Staffing,Engineering,Engineering/Architecture
Technology Startup,Business,Business/Analyst
Technology in finance,Banking,Banking/Loans
Technology learning,Education,Education/Training
"Technology, Online Community",Social Community,Social/Community
"Technology, Video Games",Gaming,Gaming
Technology/Automotive,Oil,Oil/Gas/Energy
Technology/Finance,Finance,Accounting/Finance
Technology/IT,Computer,Computer/Internet
Technology/Non-Profit,Non-Profit,Non-Profit/Volunteering
Technology/Saas,Customer Service,Customer Service
Technology/media,Telecommunications,Telecommunications
Technology/online retail,Retail,Retail
Technology/software,Computer,Computer/Internet
Techonolgy,Science,Science/Research
Telco,Telecommunications,Telecommunications
Telcom Expense Management,Upper Management,Upper Management/Consulting
Tele marketing,Marketing,Marketing/Advertising/PR
Telecom,Telecommunications,Telecommunications
Telecom Construction,Construction,Construction/Facilities
Telecom Engineering & Design,Telecommunications,Telecommunications
Telecom Software Reseller,Internet,Computer/Internet
Telecom/Cloud,Telecommunications,Telecommunications
Telecommunications,Telecommunications,Telecommunications
Telecommunications Association,Telecommunications,Telecommunications
Telecommunications Construction,Telecommunications,Telecommunications
Telecommunications Technology,Telecommunications,Telecommunications
Telecommunications software,Banking Loans,Banking/Loans
Telecommunications/Tech,Telecommunications,Telecommunications
Telematics,Transportation,Transportation/Logistics
Telemessaging,Customer Service,Customer Service
Television,Telecommunications,Telecommunications
Television - Broadcast,Telecommunications,Telecommunications
Television Advertising,Advertising,Marketing/Advertising/PR
Television Media,Media,Media
Television Production,Community,Social/Community
Television news,Community,Social/Community
Temp Work,Human Resources,Human Resources
Temporary staffing,Human Resources,Human Resources
Tennis Club,Social,Social/Community
Tertiary Education,Education,Education/Training
Test & Measurement,Telecommunications,Telecommunications
Test Preparation,Science Research,Science/Research
Test prep tutoring,Education,Education/Training
Testing/Inspection/Certification,Personal Service,Personal Service
Texh,Analyst,Business/Analyst
Textbook Publishing,Publishing,Arts/Entertainment/Publishing
Textbook Sales,Sales,Sales
Textile printing,Publishing,Arts/Entertainment/Publishing
Textiles,Agriculture,Agriculture
"Textiles, Marketing",Manufacturing,Manufacturing/Mechanical
Textles,Manufacturing,Manufacturing/Mechanical
The arts,Arts,Arts/Entertainment/Publishing
Theater,Arts,Arts/Entertainment/Publishing
Theater/Arts Nonprofit,Arts,Arts/Entertainment/Publishing
Theater/Performing Arts,Arts,Arts/Entertainment/Publishing
Theatre,Arts,Arts/Entertainment/Publishing
Theatre / Performing Arts,Arts,Arts/Entertainment/Publishing
Theatre Entertainment,Arts,Arts/Entertainment/Publishing
Theme Parks,Travel,Hospitality/Travel
Thermo ware,Restaurant Food Service,Restaurant/Food Service
Think tank/charity sector,Research,Science/Research
Think tanks,Research,Science/Research
Third Party Administration of Employee Benefits,Insurance,Insurance
Third Party Maintenance,Consulting,Upper Management/Consulting
Third Sector,Public Sector,Public Sector
Third Sector / HE (collaboration),Public Sector,Public Sector
Third party logistics,Logistics,Transportation/Logistics
"Third sector, supporting disabled people",Sport Leisure,Sport/Leisure
Tics,Pharmaceutical,Pharmaceutical/Bio-tech
Tile industry,Construction,Construction/Facilities
Time and Attendance,Human Resources,Human Resources
Tire,Food Service,Restaurant/Food Service
Tire/Automotive Industry,Transportation,Transportation/Logistics
Tissue Banking,Banking,Banking/Loans
Title Examination,Legal,Legal
Title Insurance,Insurance,Insurance
Tools,Restaurant Food Service,Restaurant/Food Service
Tourism,Hospitality Travel,Hospitality/Travel
Tourism (Museums),Travel,Hospitality/Travel
Tourism Marketing,Marketing,Marketing/Advertising/PR
Tourism/Hospitality,Hospitality Travel,Hospitality/Travel
Tourism/Technology,Hospitality Travel,Hospitality/Travel
Towing,Transportation,Transportation/Logistics
Town Government/Library,Public Sector,Public Sector
Town planning,Architecture,Engineering/Architecture
Toxicology,Science Research,Science/Research
Toys,Computer,Computer/Internet
Trade Association/Insurance,Insurance,Insurance
Trade Publications,Advertising,Marketing/Advertising/PR
Trade association,Business,Business/Analyst
Trade association - telecom industry,Telecommunications,Telecommunications
Trade shows and conventions,Retail,Retail
Trades,Construction,Construction/Facilities
Tradeshow,Hospitality Travel,Hospitality/Travel
Trading,Finance,Accounting/Finance
Traffic,Transportation,Transportation/Logistics
Traffic technology--tolling,Transportation,Transportation/Logistics
Traffic/Transportation Engineering,Engineering,Engineering/Architecture
Trailer dealership,Real Estate,Real Estate
Training,Training,Education/Training
Training & Development,Training,Education/Training
Training and Development,Training,Education/Training
Training facilitation workforce development,Training,Education/Training
Training/Government Contracting,Accounting,Accounting/Finance
Transcription,Pharmaceutical Bio-tech,Pharmaceutical/Bio-tech
Transfer Pricing,Business,Business/Analyst
Transit,Administrative,Administrative
Translation,Legal,Legal
Translation (Pharmaceutical),Pharmaceutical,Pharmaceutical/Bio-tech
Translation/ Interpretation,Science Research,Science/Research
Transport,Transportation,Transportation/Logistics
Transport driver and retired coop employee with a pension,Food Service,Restaurant/Food Service
Transportation,Transportation,Transportation/Logistics
Transportation & Logistics,Transportation Logistics,Transportation/Logistics
Transportation & Shipping,Transportation Logistics,Transportation/Logistics
Transportation & Travel,Transportation,Transportation/Logistics
Transportation (LTL),Transportation Logistics,Transportation/Logistics
Transportation - Aviation,Transportation,Transportation/Logistics
Transportation Logstics,Transportation Logistics,Transportation/Logistics
Transportation Planning,Transportation,Transportation/Logistics
Transportation Security,Security,Law Enforcement/Security
Transportation Software,Transportation Logistics,Transportation/Logistics
Transportation management,Transportation Logistics,Transportation/Logistics
Transportation policy,Transportation,Transportation/Logistics
Transportation technology,Transportation,Transportation/Logistics
"Transportation, recreation",Transportation,Transportation/Logistics
Transportation/Civic Engineering,Engineering,Engineering/Architecture
Transportation/Logistics,Transportation Logistics,Transportation/Logistics
Trash & Recycling,Public Sector,Public Sector
Travel,Travel,Hospitality/Travel
Travel & Hospitality,Hospitality Travel,Hospitality/Travel
Travel & Tourism,Hospitality Travel,Hospitality/Travel
Travel Industry,Hospitality Travel,Hospitality/Travel
Travel Insurance,Insurance,Insurance
Travel and Tourism,Hospitality Travel,Hospitality/Travel
Travel tech,Travel,Hospitality/Travel
Travel website company,Hospitality Travel,Hospitality/Travel
Travel/Hospitality,Hospitality Travel,Hospitality/Travel
Traveling exhibits,Travel,Hospitality/Travel
Treasury,Finance,Accounting/Finance
Tree Care,Agriculture,Agriculture
Tribal Government,Government,Government/Military
Truck leasing,Customer Service,Customer Service
Trucking,Transportation Logistics,Transportation/Logistics
Trucking Industry,Transportation Logistics,Transportation/Logistics
Trucking and Logistics,Transportation Logistics,Transportation/Logistics
Trust Company,Business,Business/Analyst
Trust and company administration,Business,Business/Analyst
Trusted Identities and secure transactions,Security,Law Enforcement/Security
Turf management,Upper Management,Upper Management/Consulting
Tv advertising,Advertising,Marketing/Advertising/PR
Tv/film,Community,Social/Community
U.S. Government,Government,Government/Military
UK Government,Sales,Sales
UN agency,Non-Profit,Non-Profit/Volunteering
US Air Force,Military,Government/Military
US Federal Government,Government,Government/Military
US Goverment Laboratory Contractor,Energy,Oil/Gas/Energy
US Government (EPA),Environmental,Environmental
US Military,Military,Government/Military
US Navy-civil servant,Arts Entertainment Publishing,Arts/Entertainment/Publishing
US congress,Government,Government/Military
USG,Arts Entertainment Publishing,Arts/Entertainment/Publishing
USPS,Retail,Retail
UX (Tech),Architecture,Engineering/Architecture
UX Design,Architecture,Engineering/Architecture
Uk Film Industry,Community,Social/Community
Unemployed,Government,Government/Military
Uniform rental,Customer Service,Customer Service
Union,Banking,Banking/Loans
Union Organization,Human Resources,Human Resources
Union office,Healthcare,Healthcare
Union representation,Human Resources,Human Resources
Universities,Education,Education/Training
University,Science,Science/Research
University - medical research,Science Research,Science/Research
University - staff role (not faculty),Education,Education/Training
University Administration,Administrative,Administrative
University Advancement,Arts Entertainment Publishing,Arts/Entertainment/Publishing
